"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.18222996575437","8.09100817591632","12.0810518467523","16.964363970331","17.4978622038032","16.6112764865","17.6113939029","15.4489088582062","12.9710977197129","13.7365293816121","12.1762298867312","","",
"Botswana","BWA","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.06078410566687","8.38265228013626","9.11141269872146","8.52432101821958","8.44034922621483","8.76612972477976","8.91952686381326","8.91081304800064","9.19113083750988","8.62583670401558",
"Central African Republic","CAF","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3844713841228","13.152331880037","14.1280772011506","19.087337952289","19.1593570742527","18.0602311442297","16.0897752358952","17.6941228680302","15.0788751459618","15.9197308599107","13.8170337238636","13.8533955288267",
"Canada","CAN","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.50904265128511","4.58166993633633","4.22304366211909","4.0461602097785","4.75623982302236","4.76631113956","4.8767155588592","4.61982973068852","4.30271410755344","4.4783876783578","4.55248540735644","4.65117202502206","4.79472477595189","4.78625179421219","4.70198129157197","4.55592923577073","4.7646332923412",
"Central Europe and the Baltics","CEB","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.93464044371932","6.48851453820897","6.04732781329616","6.82046607411273","8.51122266859249","5.40141433444005","5.54786930868647","5.50258174332341","6.12922696123063","6.85289678961418","7.29080600484367","7.12062909171045","8.01710711367974","8.30050983901524","8.5879863137146","8.12586633711488","7.70484399222499",
"Channel Islands","CHI","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.44365162359176","7.90303500003821","7.8834135092372","7.42285896371141","7.10101814881614","6.79388006091752","6.90688679593399","7.24915898284898","7.85398409913412","7.83995415608633","7.73891260114948","7.93992737990081","7.91156845586094","7.76993907852362","7.36574053509472","8.2490296702381","8.28941482443367","8.19181738377551","7.33892973803531","6.63929108433719","6.65192868012311",
"China","CHN","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.86070750816753","7.06618760408165","6.87223521109835","7.08840806709445","7.37794222742463","7.57138184829879","7.54175994025084","7.75345301609578",
"Cote d'Ivoire","CIV","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.33976167932063","2.96466279675509","2.67567253552322","3.4159474333654","4.95120714208622","5.25827162947004","4.31495313303808","4.53806317619129","4.97924561086354","5.10782434312647","6.48635164296816","6.49007181333731",
"Congo, Dem. Rep.","COD","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.87161029279935","3.99004699889854","4.2541625248509","5.18905817514983","5.66068271528731","9.06308193668529","10.6322264163974","12.2012031068355","11.8327262133362","13.4652024351962","10.1237640826872","10.871702816348",
"Colombia","COL","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.59408808192789","8.72687533685099","9.39470293807273","9.04002871348989","9.80457832415508","9.79384919063988","10.233535978431","10.4630169388251","8.96216006550681","8.92944050877698","8.70103336460749","8.73123155064112","9.19236118254382","9.44158161307081","9.12952092394827","9.94698971962555","12.4267187595948",
"Comoros","COM","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3647301705058","16.1884799470155","10.7283277755773","11.2867043457682","11.898840844669","10.8790170382158","8.87767264717397","10.5408152245424","11.5432812447972","12.8102391076967","10.1107983076337","",
"Cabo Verde","CPV","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.45403032751956","9.60531952316084","9.8971997388045","9.99751625407525","9.90514622129192","9.68715349338608","9.6786091492865","9.63798400461723","9.27887825075645","9.44245290012759","9.57077554773791","10.0203799762512","9.56169564877458","",
"Caribbean small states","CSS","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.26267885630056","4.63488527505734","6.00399735711519","4.38694605574097","3.79657259931126","8.12294910290514","9.57783632893941","9.86910567244994","10.1841003639361","8.69778491699018","8.10080559529895","8.9201400679064","8.6621137957118","7.34038844640039",
"Czechia","CZE","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.5337773383992","","5.04308707793851","5.44559402433257","6.05432895380949","6.45344319456211","6.46273486055296","6.84600751136211","7.17579326112522","7.26746165220963","7.49087863999436","7.22772902801412","6.46241130104379","6.52009005338795","6.81838827125203","7.34036507017301","6.89515425057805",
"Germany","DEU","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07","4.33","4.27","4.49","4.81","4.3","4.36","4.73","5.45","5.61","5.94","5.98","6.33","6.47","6.31","5.93","5.94",
"Djibouti","DJI","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.84065495492612","4.16835116872092","4.29503163043564","5.25704228960036","5.7497855510536","5.38923860864114","6.29175234515156","6.64578493419695","6.06599474798883","5.64914566922866",
"Dominica","DMA","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.99938782361421","3.39346520365384","5.133194838263","4.926281","3.55511","4.203478","",
"Denmark","DNK","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.14434459967566","5.73891094358115","6.24080335115749","5.51643725044902","5.49293969650125","5.43221423673908","18.8515825040812","18.5209723415932","21.5676957874095","5.11626116632611","5.09551314591838","5.1392650088198","4.8842860668024","5.10154666878939","4.82945147545583","4.64546707811849","4.80616766230427",
